timestamp,week_label,action,rows
2025-07-29 05:25:53.86327,2025-28,skipped,NA
2025-07-29 05:25:58.898137,2025-29,downloaded,911
2025-07-30 05:27:59.751772,2025-28,skipped,NA
2025-07-30 05:28:04.770828,2025-29,skipped,NA
2025-07-31 05:24:57.406031,2025-28,skipped,NA
2025-07-31 05:25:02.484584,2025-29,skipped,NA
2025-08-01 05:30:01.401341,2025-29,skipped,NA
2025-08-01 05:30:06.420995,2025-30,not_found,NA
2025-08-04 05:36:05.143014,2025-29,skipped,NA
2025-08-04 05:36:10.180725,2025-30,not_found,NA
2025-08-05 05:27:52.095776,2025-29,skipped,NA
2025-08-05 05:27:57.104798,2025-30,downloaded,912
2025-08-06 05:28:08.05318,2025-29,skipped,NA
2025-08-06 05:28:13.073014,2025-30,skipped,NA
2025-08-07 05:26:46.158949,2025-29,skipped,NA
2025-08-07 05:26:51.229491,2025-30,skipped,NA
2025-08-08 05:27:01.592065,2025-30,skipped,NA
2025-08-08 05:27:06.622614,2025-31,not_found,NA
2025-08-11 05:25:41.606935,2025-30,skipped,NA
2025-08-11 05:25:46.689824,2025-31,not_found,NA
2025-08-12 05:18:28.620465,2025-30,skipped,NA
2025-08-12 05:18:33.638983,2025-31,downloaded,910
2025-08-13 05:18:51.865007,2025-30,skipped,NA
2025-08-13 05:18:56.882184,2025-31,skipped,NA
2025-08-14 05:18:22.122036,2025-30,skipped,NA
2025-08-14 05:18:27.158856,2025-31,skipped,NA
2025-08-15 05:18:32.202797,2025-31,skipped,NA
2025-08-15 05:18:37.221512,2025-32,not_found,NA
2025-08-18 05:22:37.648693,2025-31,skipped,NA
2025-08-18 05:22:42.66433,2025-32,not_found,NA
2025-08-19 05:17:20.977424,2025-31,skipped,NA
2025-08-19 05:17:25.986146,2025-32,downloaded,912
2025-08-20 05:16:54.632622,2025-31,skipped,NA
2025-08-20 05:16:59.652524,2025-32,skipped,NA
2025-08-21 05:18:29.70462,2025-31,skipped,NA
2025-08-21 05:18:34.790484,2025-32,skipped,NA
2025-08-22 05:16:51.770552,2025-32,skipped,NA
2025-08-22 05:16:56.787211,2025-33,not_found,NA
2025-08-25 05:18:08.299073,2025-32,skipped,NA
2025-08-25 05:18:13.343313,2025-33,not_found,NA
2025-08-26 05:18:48.610506,2025-32,skipped,NA
2025-08-26 05:18:53.628644,2025-33,downloaded,912
2025-08-27 05:17:42.519497,2025-32,skipped,NA
2025-08-27 05:17:47.541768,2025-33,skipped,NA
2025-08-28 05:16:28.701339,2025-32,skipped,NA
2025-08-28 05:16:33.72128,2025-33,skipped,NA
2025-08-29 05:16:50.865932,2025-33,skipped,NA
2025-08-29 05:16:55.886745,2025-34,not_found,NA
2025-09-01 05:17:58.804686,2025-33,skipped,NA
2025-09-01 05:18:03.825662,2025-34,not_found,NA
2025-09-02 05:16:42.162525,2025-33,skipped,NA
2025-09-02 05:16:47.184954,2025-34,downloaded,912
2025-09-03 05:15:20.946024,2025-33,skipped,NA
2025-09-03 05:15:26.007578,2025-34,skipped,NA
2025-09-04 05:17:29.137703,2025-33,skipped,NA
2025-09-04 05:17:34.172622,2025-34,skipped,NA
2025-09-05 05:16:17.395457,2025-34,skipped,NA
2025-09-05 05:16:22.411172,2025-35,not_found,NA
2025-09-08 05:17:36.47799,2025-34,skipped,NA
2025-09-08 05:17:41.499025,2025-35,not_found,NA
2025-09-09 05:15:57.21647,2025-34,skipped,NA
2025-09-09 05:16:02.261524,2025-35,downloaded,912
2025-09-10 05:17:11.82168,2025-34,skipped,NA
2025-09-10 05:17:16.83749,2025-35,skipped,NA
2025-09-11 05:16:07.585736,2025-34,skipped,NA
2025-09-11 05:16:12.60799,2025-35,skipped,NA
2025-09-12 05:17:04.186677,2025-35,skipped,NA
2025-09-12 05:17:09.250406,2025-36,not_found,NA
2025-09-15 05:19:11.675452,2025-35,skipped,NA
2025-09-15 05:19:16.751165,2025-36,not_found,NA
2025-09-16 05:16:15.480819,2025-35,skipped,NA
2025-09-16 05:16:20.557661,2025-36,downloaded,912
2025-09-17 05:17:55.08389,2025-35,skipped,NA
