"date","value","year","week_label_clean","pref","category"
"2012-11-04",0,2012,"October 29 – November 4, 2012","Tokyo","Bacterial meningitis"
"2012-11-04",0.16,2012,"October 29 – November 4, 2012","Tokyo","Viral meningitis"
"2012-11-04",1.16,2012,"October 29 – November 4, 2012","Tokyo","Mycoplasma pneumonia"
"2012-11-04",0.04,2012,"October 29 – November 4, 2012","Tokyo","Chlamydia pneumonia"
"2012-11-11",0.09,2012,"November 5–11, 2012","Tokyo","Flu"
"2012-11-11",0.44,2012,"November 5–11, 2012","Tokyo","Adenovirus infection"
"2012-11-11",2.1,2012,"November 5–11, 2012","Tokyo","Strep throat"
"2012-11-11",9.49,2012,"November 5–11, 2012","Tokyo","Gastroenteritis"
"2012-11-11",0.93,2012,"November 5–11, 2012","Tokyo","Chickenpox"
"2012-11-11",0.48,2012,"November 5–11, 2012","Tokyo","Hand-foot-mouth disease"
"2012-11-11",0.07,2012,"November 5–11, 2012","Tokyo","Fifth disease"
"2012-11-11",0.75,2012,"November 5–11, 2012","Tokyo","Roseola"
"2012-11-11",0.04,2012,"November 5–11, 2012","Tokyo","Whooping cough"
"2012-11-11",0.1,2012,"November 5–11, 2012","Tokyo","Herpangina"
"2012-11-11",0.27,2012,"November 5–11, 2012","Tokyo","Mumps"
"2012-11-11",0,2012,"November 5–11, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-11-11",0.41,2012,"November 5–11, 2012","Tokyo","Viral conjunctivitis"
"2012-11-11",0.13,2012,"November 5–11, 2012","Tokyo","Bacterial meningitis"
"2012-11-11",0.08,2012,"November 5–11, 2012","Tokyo","Viral meningitis"
"2012-11-11",1.79,2012,"November 5–11, 2012","Tokyo","Mycoplasma pneumonia"
"2012-11-11",0,2012,"November 5–11, 2012","Tokyo","Chlamydia pneumonia"
"2012-11-18",0.17,2012,"November 12–18, 2012","Tokyo","Flu"
"2012-11-18",0.41,2012,"November 12–18, 2012","Tokyo","Adenovirus infection"
"2012-11-18",2.22,2012,"November 12–18, 2012","Tokyo","Strep throat"
"2012-11-18",13.44,2012,"November 12–18, 2012","Tokyo","Gastroenteritis"
"2012-11-18",0.92,2012,"November 12–18, 2012","Tokyo","Chickenpox"
"2012-11-18",0.45,2012,"November 12–18, 2012","Tokyo","Hand-foot-mouth disease"
"2012-11-18",0.03,2012,"November 12–18, 2012","Tokyo","Fifth disease"
"2012-11-18",0.59,2012,"November 12–18, 2012","Tokyo","Roseola"
"2012-11-18",0.04,2012,"November 12–18, 2012","Tokyo","Whooping cough"
"2012-11-18",0.07,2012,"November 12–18, 2012","Tokyo","Herpangina"
"2012-11-18",0.26,2012,"November 12–18, 2012","Tokyo","Mumps"
"2012-11-18",0.03,2012,"November 12–18, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-11-18",0.34,2012,"November 12–18, 2012","Tokyo","Viral conjunctivitis"
"2012-11-18",0,2012,"November 12–18, 2012","Tokyo","Bacterial meningitis"
"2012-11-18",0.09,2012,"November 12–18, 2012","Tokyo","Viral meningitis"
"2012-11-18",1.26,2012,"November 12–18, 2012","Tokyo","Mycoplasma pneumonia"
"2012-11-18",0.04,2012,"November 12–18, 2012","Tokyo","Chlamydia pneumonia"
"2012-11-25",0.24,2012,"November 19–25, 2012","Tokyo","Flu"
"2012-11-25",0.38,2012,"November 19–25, 2012","Tokyo","Adenovirus infection"
"2012-11-25",1.98,2012,"November 19–25, 2012","Tokyo","Strep throat"
"2012-11-25",15.89,2012,"November 19–25, 2012","Tokyo","Gastroenteritis"
"2012-11-25",1.28,2012,"November 19–25, 2012","Tokyo","Chickenpox"
"2012-11-25",0.47,2012,"November 19–25, 2012","Tokyo","Hand-foot-mouth disease"
"2012-11-25",0.02,2012,"November 19–25, 2012","Tokyo","Fifth disease"
"2012-11-25",0.58,2012,"November 19–25, 2012","Tokyo","Roseola"
"2012-11-25",0.01,2012,"November 19–25, 2012","Tokyo","Whooping cough"
"2012-11-25",0.08,2012,"November 19–25, 2012","Tokyo","Herpangina"
"2012-11-25",0.21,2012,"November 19–25, 2012","Tokyo","Mumps"
"2012-11-25",0.05,2012,"November 19–25, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-11-25",0.36,2012,"November 19–25, 2012","Tokyo","Viral conjunctivitis"
"2012-11-25",0,2012,"November 19–25, 2012","Tokyo","Bacterial meningitis"
"2012-11-25",0.12,2012,"November 19–25, 2012","Tokyo","Viral meningitis"
"2012-11-25",0.72,2012,"November 19–25, 2012","Tokyo","Mycoplasma pneumonia"
"2012-11-25",0.04,2012,"November 19–25, 2012","Tokyo","Chlamydia pneumonia"
"2012-12-02",0.31,2012,"November 26 – December 2, 2012","Tokyo","Flu"
"2012-12-02",0.55,2012,"November 26 – December 2, 2012","Tokyo","Adenovirus infection"
"2012-12-02",2.15,2012,"November 26 – December 2, 2012","Tokyo","Strep throat"
"2012-12-02",23.59,2012,"November 26 – December 2, 2012","Tokyo","Gastroenteritis"
"2012-12-02",1.31,2012,"November 26 – December 2, 2012","Tokyo","Chickenpox"
"2012-12-02",0.38,2012,"November 26 – December 2, 2012","Tokyo","Hand-foot-mouth disease"
"2012-12-02",0.06,2012,"November 26 – December 2, 2012","Tokyo","Fifth disease"
"2012-12-02",0.64,2012,"November 26 – December 2, 2012","Tokyo","Roseola"
"2012-12-02",0.02,2012,"November 26 – December 2, 2012","Tokyo","Whooping cough"
"2012-12-02",0.08,2012,"November 26 – December 2, 2012","Tokyo","Herpangina"
"2012-12-02",0.21,2012,"November 26 – December 2, 2012","Tokyo","Mumps"
"2012-12-02",0,2012,"November 26 – December 2, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-12-02",0.59,2012,"November 26 – December 2, 2012","Tokyo","Viral conjunctivitis"
"2012-12-02",0,2012,"November 26 – December 2, 2012","Tokyo","Bacterial meningitis"
"2012-12-02",0.08,2012,"November 26 – December 2, 2012","Tokyo","Viral meningitis"
