"date","value","year","week_label_clean","pref","category"
"2012-12-30",3.35,2012,"December 24–30, 2012","Nationwide","Flu"
"2012-12-30",0.43,2012,"December 24–30, 2012","Nationwide","Adenovirus infection"
"2012-12-30",1.52,2012,"December 24–30, 2012","Nationwide","Strep throat"
"2012-12-30",11.39,2012,"December 24–30, 2012","Nationwide","Gastroenteritis"
"2012-12-30",2,2012,"December 24–30, 2012","Nationwide","Chickenpox"
"2012-12-30",0.32,2012,"December 24–30, 2012","Nationwide","Hand-foot-mouth disease"
"2012-12-30",0.05,2012,"December 24–30, 2012","Nationwide","Fifth disease"
"2012-12-30",0.42,2012,"December 24–30, 2012","Nationwide","Roseola"
"2012-12-30",0.01,2012,"December 24–30, 2012","Nationwide","Whooping cough"
"2012-12-30",0.04,2012,"December 24–30, 2012","Nationwide","Herpangina"
"2012-12-30",0.28,2012,"December 24–30, 2012","Nationwide","Mumps"
"2012-12-30",0.01,2012,"December 24–30, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-12-30",0.55,2012,"December 24–30, 2012","Nationwide","Viral conjunctivitis"
"2012-12-30",0.02,2012,"December 24–30, 2012","Nationwide","Bacterial meningitis"
"2012-12-30",0.03,2012,"December 24–30, 2012","Nationwide","Viral meningitis"
"2012-12-30",0.89,2012,"December 24–30, 2012","Nationwide","Mycoplasma pneumonia"
"2012-12-30",0.04,2012,"December 24–30, 2012","Nationwide","Chlamydia pneumonia"
"2013-01-06",3.91,2013,"December 31 – January 6, 2013","Nationwide","Flu"
"2013-01-06",0.18,2013,"December 31 – January 6, 2013","Nationwide","Adenovirus infection"
"2013-01-06",0.53,2013,"December 31 – January 6, 2013","Nationwide","Strep throat"
"2013-01-06",4.36,2013,"December 31 – January 6, 2013","Nationwide","Gastroenteritis"
"2013-01-06",1.67,2013,"December 31 – January 6, 2013","Nationwide","Chickenpox"
"2013-01-06",0.13,2013,"December 31 – January 6, 2013","Nationwide","Hand-foot-mouth disease"
"2013-01-06",0.02,2013,"December 31 – January 6, 2013","Nationwide","Fifth disease"
"2013-01-06",0.19,2013,"December 31 – January 6, 2013","Nationwide","Roseola"
"2013-01-06",0,2013,"December 31 – January 6, 2013","Nationwide","Whooping cough"
"2013-01-06",0.01,2013,"December 31 – January 6, 2013","Nationwide","Herpangina"
"2013-01-06",0.19,2013,"December 31 – January 6, 2013","Nationwide","Mumps"
"2013-01-06",0.01,2013,"December 31 – January 6, 2013","Nationwide","Hemorrhagic conjunctivitis"
"2013-01-06",0.36,2013,"December 31 – January 6, 2013","Nationwide","Viral conjunctivitis"
"2013-01-06",0.02,2013,"December 31 – January 6, 2013","Nationwide","Bacterial meningitis"
"2013-01-06",0.02,2013,"December 31 – January 6, 2013","Nationwide","Viral meningitis"
"2013-01-06",0.52,2013,"December 31 – January 6, 2013","Nationwide","Mycoplasma pneumonia"
"2013-01-06",0.01,2013,"December 31 – January 6, 2013","Nationwide","Chlamydia pneumonia"
"2013-01-13",12.07,2013,"January 7–13, 2013","Nationwide","Flu"
"2013-01-13",0.36,2013,"January 7–13, 2013","Nationwide","Adenovirus infection"
"2013-01-13",1.53,2013,"January 7–13, 2013","Nationwide","Strep throat"
"2013-01-13",8.44,2013,"January 7–13, 2013","Nationwide","Gastroenteritis"
"2013-01-13",1.92,2013,"January 7–13, 2013","Nationwide","Chickenpox"
"2013-01-13",0.16,2013,"January 7–13, 2013","Nationwide","Hand-foot-mouth disease"
"2013-01-13",0.07,2013,"January 7–13, 2013","Nationwide","Fifth disease"
"2013-01-13",0.5,2013,"January 7–13, 2013","Nationwide","Roseola"
"2013-01-13",0.01,2013,"January 7–13, 2013","Nationwide","Whooping cough"
"2013-01-13",0.02,2013,"January 7–13, 2013","Nationwide","Herpangina"
"2013-01-13",0.34,2013,"January 7–13, 2013","Nationwide","Mumps"
"2013-01-13",0.03,2013,"January 7–13, 2013","Nationwide","Hemorrhagic conjunctivitis"
"2013-01-13",0.69,2013,"January 7–13, 2013","Nationwide","Viral conjunctivitis"
"2013-01-13",0.01,2013,"January 7–13, 2013","Nationwide","Bacterial meningitis"
"2013-01-13",0.02,2013,"January 7–13, 2013","Nationwide","Viral meningitis"
"2013-01-13",0.83,2013,"January 7–13, 2013","Nationwide","Mycoplasma pneumonia"
"2013-01-13",0.05,2013,"January 7–13, 2013","Nationwide","Chlamydia pneumonia"
"2013-01-20",22.58,2013,"January 14–20, 2013","Nationwide","Flu"
"2013-01-20",0.23,2013,"January 14–20, 2013","Nationwide","Adenovirus infection"
"2013-01-20",1.51,2013,"January 14–20, 2013","Nationwide","Strep throat"
"2013-01-20",7.04,2013,"January 14–20, 2013","Nationwide","Gastroenteritis"
"2013-01-20",1.12,2013,"January 14–20, 2013","Nationwide","Chickenpox"
